Nome;Latitudine;Longitudine;Indirizzo;Categoria;Macro_Categoria;p1_capire_diagnosi_orientarsi;p2_gestire_quotidianità;p3_uscire_casa_restare_attivo;p4_non_isolarsi;p5_comportamento_memoria;p6_questioni_pratiche_burocratiche;p7_caregiver;Fonte;Telefono;Web;Nome_icona
CONSULTORIO FAMILIARE PUBBLICO;45.510829;9.193227;PIAZZA DELL'OSPEDALE MAGGIORE 3;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE PUBBLICO;45.48601;9.194097;PIAZZA DELL'OSPEDALE MAGGIORE 3;Consultorio familiare pubblico;sociosanitario;;;;;;;;;;;icon-consultorio.png
ASS.NE ITALIANA EDUCAZIONE DEMOGRAFICA - A.I.E.D.;45.473557;9.213394;VIALE REGINA GIOVANNA  36;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
BEATA GIANNA BERETTA MOLLA - ONLUS;45.427029;9.172926;VIA BOIFAVA  15/A;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CED CENTRO EDUCAZIONE DEMOGRAFICA;45.459284;9.186975;VIA AMEDEI  13;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CEMP CENTRO EDUCAZIONE MATRIMONIALE E PREMATRIMONIALE;45.462829;9.202731;VIA EUGENIO CHIESA  1;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CENTRO CONSULENZA FAMIGLIA - ONLUS;45.459996;9.143336;VIA STROZZI  6/A;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CENTRO DI ASSISTENZA LA FAMIGLIA AMBROSIANA - ONLUS;45.461893;9.193496;VIA SANT'ANTONIO  5;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CENTRO PROGETTI DONNA - JEANNE DEROIN;45.46006;9.198654;VIA DELLA GUASTALLA  8;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSORZIO SIR;45.438271;9.187678;VIA BAZZI  68;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE GEPO;45.467089;9.181586;VIA SAN GIOVANNI SUL MURO  5;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE KOLBE - ONLUS;45.462073;9.23251;VIALE CORSICA  68;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE LUISA RIVA;45.442362;9.176205;VIA ASCANIO SFORZA  75;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE MANCINELLI;45.488899;9.227882;VIA MANCINELLI  1;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO FAMILIARE SAN CRISTOFORO;45.448482;9.154918;VIA S. CRISTOFORO  3/5;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO INTERDECANALE DI VIALE RESTELLI;45.489997;9.196867;VIALE RESTELLI  25;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO INTERDECANALE IL CAMINETTO - ONLUS;45.527276;9.173891;PIAZZA BRUZZANO  8;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO LA FAMIGLIA - ONLUS;45.491403;9.188912;VIA ARESE  18;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO PREMATRIMONIALE E MATRIMONIALE ISTITUTO LA CASA;45.449729;9.209537;VIA PIETRO COLLETTA  31;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
CONSULTORIO PRIVATO GLI AQUILONI;45.440283;9.224021;CORSO LODI  127;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
GENITORI OGGI;45.455636;9.199413;VIA DELLA COMMENDA  37;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
LUISA RIVA;45.442362;9.176205;VIA ASCANIO SFORZA  75;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
VILLAGGIO DELLA MADRE E DEL FANCIULLO - ONLUS;45.48638;9.131265;VIA GOYA  60;Consultorio familiare privato;sociosanitario;;;;;;;;;;;icon-consultorio.png
Servizio pubblico di trasporti Croce Rossa Italiana Milano;;;X;Servizio pubblico;sociosanitario;;Trasporto pazienti con e senza difficoltà di deambulazione (CRI, tariffe sul sito);;;;;;https://crimilano.it;Tel. 023883;prenotazioni@crimilano.it — crimilano.it;icon-servizio.png
Easy Trasporti — Ambulanza Privata Milano;;;X;Servizio privato;sociosanitario;;Trasporto pazienti con e senza difficoltà di deambulazione, anche carrozzina;;;;;;;Tel. 0236559466;easytrasporti.it;icon-servizio.png
Accademia Scherma Milano;45,4864645;9,1938834;Via Filippo Sassetti 15, Milano;Associazione sportiva dilettantistica;sociale;;;Corso di ginnastica dolce per persone con demenza e caregiver (2 volte/settimana, ott–giu): stimolazione motoria adattata, equilibrio, mobilità articolare;"Spazio di socializzazione in ambiente non stigmatizzante per persona con demenza e familiare; favorisce inclusione nella comunità";;;Spazio di condivisione tra caregiver durante le sessioni;;Tel. 02 809767 (Alzheimer Milano ODV);alzheimer_milano@alzheimer.it — accademiaschermamilano.it;icon-associazione.png
Biblioteca Comunale Gallaratese;45,4962275;9,1149541;Via Giacomo Quarenghi 21, 20151 Milano;Biblioteca comunale;sociale;;;Spazio Alzheimer: gruppo Validation, arteterapia, raccolta libri demenza;"Spazio Alzheimer; incontri per caregiver; letture condivise";;;;;Tel. 02 88464270;milano.biblioteche.it/library/gallaratese/;icon-biblioteca.png
Biblioteca Comunale Harar;45,47389;9,11955;Via Albenga 2, Milano;Biblioteca comunale;sociale;;;Incontri per caregiver demenza/Alzheimer;Incontri per familiari di persone con demenza o Alzheimer;;;;;Tel. 02 88465810;milano.biblioteche.it/library/harar/;icon-biblioteca.png
Biblioteca Comunale Affori;45,5166084;9,1673769;Viale Affori 21, Milano;Biblioteca comunale;sociale;;;Sportello Alzheimer segnalato;"Sportello Alzheimer di quartiere; attività per anziani";;;;;Tel. 02 88462522;milano.biblioteche.it/library/affori/;icon-biblioteca.png
Biblioteca Comunale Accursio;45,4913863;9,1461543;Piazzale Francesco Accursio 5, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88464300;milano.biblioteche.it/library/accursio/;icon-biblioteca.png
Biblioteca Comunale Baggio;45,4633673;9,0903283;Via Pistoia 10, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura / Reader's corner;"Attività culturali; Reader's corner";;;;;Tel. 02 88465804;milano.biblioteche.it/library/baggio/;icon-biblioteca.png
Biblioteca Comunale Calvairate;45,4555526;9,2208063;Via Laura Ciceri Visconti 1, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura / Reader's corner;"Attività culturali; Reader's corner — verificare apertura";;;;;Tel. 02 88465801;milano.biblioteche.it/library/calvairate/;icon-biblioteca.png
Biblioteca Comunale Cassina Anna;45,5249398;9,177193;Via Sant'Arnaldo 17, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465800;milano.biblioteche.it/library/cassinaanna/;icon-biblioteca.png
Biblioteca Comunale Chiesa Rossa;45,4304092;9,1738751;Via San Domenico Savio 3, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465991;milano.biblioteche.it/library/chiesarossa/;icon-biblioteca.png
Biblioteca Comunale Crescenzago;45,5002499;9,2393183;Via Don Luigi Orione 19, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465808;milano.biblioteche.it/library/crescenzago/;icon-biblioteca.png
Biblioteca Comunale Dergano-Bovisa;45,5037729;9,1685324;Via Filippo Baldinucci 76, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465807;milano.biblioteche.it/library/dergano/;icon-biblioteca.png
Biblioteca Comunale Fra Cristoforo;45,4361949;9,1717739;Via Fra Cristoforo 6, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465806;milano.biblioteche.it/library/fracristoforo/;icon-biblioteca.png
Biblioteca Comunale Lambrate;45,4889184;9,2204733;Via Padova 36, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465809;milano.biblioteche.it/library/lambrate/;icon-biblioteca.png
Biblioteca Comunale Lorenteggio;45,4475452;9,1344417;Via Emanuele Odazio 9, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465811;milano.biblioteche.it/library/lorenteggio/;icon-biblioteca.png
Biblioteca Comunale Niguarda;45,5152399;9,1930974;Via Gian Battista Passerini 5, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura (3 gruppi attivi);"Tre gruppi di lettura mensili; alta frequentazione anziani";;;;;Tel. 02 88462542;milano.biblioteche.it/library/niguarda/;icon-biblioteca.png
Biblioteca Comunale Oglio;45,4404402;9,2178421;Via Oglio 18, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88462971;milano.biblioteche.it/library/oglio/;icon-biblioteca.png
Biblioteca Comunale Parco Sempione;45,47452;9,1740572;Viale Cervantes, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura (2 gruppi: mer e gio);Due gruppi di lettura settimanali in contesto parco;;;;;Tel. 02 88465812;milano.biblioteche.it/library/parco/;icon-biblioteca.png
Biblioteca Comunale Quarto Oggiaro;45,5197708;9,1293695;Via Otranto, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura 'Non ci resta che leggere';Gruppo di lettura mensile;;;;;Tel. 02 88465813;milano.biblioteche.it/library/quartooggiaro/;icon-biblioteca.png
Biblioteca Comunale Sant'Ambrogio;45,4313301;9,1632756;Via San Paolino 18, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465814;milano.biblioteche.it/library/santambrogio/;icon-biblioteca.png
Biblioteca Comunale Sicilia;45,465763;9,1514639;Via Luigi Sacco 14, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465863;milano.biblioteche.it/library/sicilia/;icon-biblioteca.png
Biblioteca Comunale Centrale Sormani;45,4621276;9,1981128;Corso di Porta Vittoria 6, Milano;Biblioteca comunale;sociale;;;"Gruppi di lettura multipli; audiolibri per anziani";"Audiolibri per anziani/ipovedenti; gruppi di lettura";;;;;Tel. 800 880066;milano.biblioteche.it/library/sormani/;icon-biblioteca.png
Biblioteca Comunale Tibaldi;45,444923;9,1830534;Viale Tibaldi 41, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura 'Ti-Baldi lettori';Gruppo di lettura mensile;;;;;Tel. 02 88462920;milano.biblioteche.it/library/tibaldi/;icon-biblioteca.png
Biblioteca Comunale Venezia;45,4748492;9,2092316;Via Paolo Frisi 5, Milano;Biblioteca comunale;sociale;;;5 gruppi di lettura attivi;"Cinque gruppi di lettura; alta frequentazione";;;;;Tel. 02 88465799;milano.biblioteche.it/library/venezia/;icon-biblioteca.png
Biblioteca Comunale Vigentina;45,4542533;9,1960954;Corso di Porta Vigentina 15, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465798;milano.biblioteche.it/library/vigentina/;icon-biblioteca.png
Biblioteca Comunale Villapizzone;45,49915;9,14757;Via Rosina Ferrario Grugnola 3, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88465815;milano.biblioteche.it/library/villapizzone/;icon-biblioteca.png
Biblioteca Comunale Zara;45,4972154;9,1960641;Viale Zara 100, Milano;Biblioteca comunale;sociale;;;Gruppo di lettura;Attività culturali e gruppo di lettura;;;;;Tel. 02 88462823;milano.biblioteche.it/library/zara/;icon-biblioteca.png
Caritas Ambrosiana — Rete Centri di Ascolto;45,4623332;9,1966489;Via San Bernardino 4, Milano;Rete Caritas / terzo settore ecclesiale;sociale;;Accompagnamento anziani a visite, disbrigo pratiche, supporto pratico informale tramite volontari;;"Ascolto e orientamento di prossimità; reti di vicinato attivate dai centri parrocchiali";;"Orientamento ai servizi sociali e sanitari del territorio; supporto a pratiche burocratiche di base";Ascolto e supporto informale ai caregiver tramite volontari formati;;Tel. 02 760371;caritas@caritasambrosiana.it — caritasambrosiana.it/centri-dascolto;icon-centro-di-ascolto.png
Alzheimer Café presso Associazione Smemorati di via Padova ODV;45,4889184;9,2204733;Via Padova 36, 20131 Milano;Alzheimer Café;sociale;;;"Caffè Alzheimer ogni martedì (Spazio Mosso); attività di comunità nel quartiere";"Caffè Alzheimer ogni martedì (Spazio Mosso); attività di comunità nel quartiere";Indicazioni per gestione disturbi comportamentali nel colloquio allo sportello;;;https://www.mitomorrow.it/salute/sportello-alzheimer-annichiarico/ | https://www2.comune.milano.it/web/municipio-2/-/sportello-alzheimer-2025;—;—;icon-alzheimer-cafe.png
Alzheimer Café presso Fondazione Manuli — RSA Saccardo;45,4811669;9,2400497;Via Pietro Andrea Saccardo 47, 20134 Milano;Alzheimer Café;sociale;;;;"Spazio di incontro conviviale per persone con demenza e caregiver; momenti di socializzazione e condivisione";;;;https://www.comune.milano.it/servizi/welfare/servizi-per-alzheimer-interventi-psicosociali;—;—;icon-alzheimer-cafe.png
Alzheimer Café presso A.M.A. Milano — RSA Saccardo;45,4811669;9,2400497;Via Pietro Andrea Saccardo 47, 20134 Milano;Alzheimer Café;sociale;;;;Spazio di incontro conviviale per persone con demenza e caregiver;;;;https://www.comune.milano.it/servizi/welfare/servizi-per-alzheimer-interventi-psicosociali;—;—;icon-alzheimer-cafe.png
Alzheimer Café presso Centro Ricordi;45,48047;9,20672;Via Ruggero Boscovich 42, Milano;Alzheimer Café;sociale;;;"Attività di socializzazione e aggregazione per anziani; Alzheimer Café 2 volte/mese";"Attività di socializzazione e aggregazione per anziani; Alzheimer Café 2 volte/mese";Alzheimer Café: stimolazione cognitiva, arteterapia, musicoterapia;;Alzheimer Café: spazio d'ascolto per caregiver (2 volte/mese);https://piccoloprincipeonlus.org/alzheimer-cafe/;Tel. 0220245017;—;icon-alzheimer-cafe.png
Alzheimer Café presso Le Compagnie Malviste APS;45,47103;9,10929;Via Fratelli Zoia 89, Milano;Alzheimer Café;sociale;;;"Alzheimer Café teatrale ad accesso libero; performance in spazi urbani aperte alla comunità";"Alzheimer Café teatrale ad accesso libero; performance in spazi urbani aperte alla comunità";;;;https://www.lecompagniemalviste.org/teatro-fragile/ | https://alconfine.net/alzheimer-cafe/alzheimer-cafe-zona-9/;Tel. 3518009578;segreteria@lecompagniemalviste.org;icon-alzheimer-cafe.png
Alzheimer Café presso RSA Saccardo;45,4476;9,19542;Via Pietro Andrea Saccardo, 47, 20134 Milano MI;Alzheimer Café;sociale;;;"Alzheimer Café (c/o RSA Saccardo); spazio ludico/ricreativo per pazienti e famiglie";"Alzheimer Café (c/o RSA Saccardo); spazio ludico/ricreativo per pazienti e famiglie";;;;https://www.amamilano.org/progetti.html | https://amamilano.info/;—;—;icon-alzheimer-cafe.png
Alzheimer Café presso Cooperativa 'Il Piccolo Principe’;45,4407127;9,1744801;Via Rimini, Milano;Alzheimer Café;Sociale;;;Alzheimer Café: attività di musicoterapia, canto, suono in gruppo (4 zone di Milano);Alzheimer Café: spazio di incontro e socializzazione per persone con demenza e familiari;;;"Alzheimer Café: spazio di confronto tra caregiver; progetto Cure Plurime con gruppi dedicati ai familiari";https://piccoloprincipeonlus.org/alzheimer-cafe/ | https://piccoloprincipeonlus.org/assistenza/;Tel. 0284893234 — 0258111712;info@piccoloprincipe.org — info@concura.eu;icon-alzheimer-cafe.png
Alzheimer Café Fondazione Manuli — Istituto dei Ciechi;45,469085;9,202536;Via Mozart 16, 20122 Milano;Alzheimer Café;sociale;;;Attività stimolanti in piccolo gruppo (arteterapia, musicoterapia) — gestione Fondazione Manuli Onlus;Spazio di incontro conviviale per persone con demenza e caregiver;Interventi psicosociali per stimolazione delle competenze cognitive residue;;Spazio di informazione e confronto per familiari e caregiver;https://www.comune.milano.it/servizi/welfare/servizi-per-alzheimer-interventi-psicosociali;—;—;icon-alzheimer-cafe.png
Alzheimer Café Al Confine — Circolo Arci Métissage;45,4854624;9,1888795;Via Borsieri 2, 20149 Milano;Alzheimer Café;sociale;;;Alzheimer Café (gestito da Al Confine Onlus): arteterapia, gruppo validation;Alzheimer Café (gestito da Al Confine Onlus): arteterapia, gruppo validation;Incontri per anziano e caregiver;;;;—;—;icon-alzheimer-cafe.png
Alzheimer Café Al Confine — CSRC La Porta del Cuore;45,5045871;9,1014092;Via Appennini 147/A, 20151 Milano;Alzheimer Café;sociale;;;Alzheimer Café (gestito da Al Confine Onlus);Alzheimer Café (gestito da Al Confine Onlus);Incontri per anziano e caregiver;;;;—;—;icon-alzheimer-cafe.png
Alzheimer Café Piccolo Principe / Smemorati — Spazio Mosso;45,4940174;9,2262206;Via Angelo Mosso 3, 20127 Milano;Alzheimer Café;sociale;;;Alzheimer Café (Piccolo Principe Onlus con Smemorati di via Padova ODV);Alzheimer Café (Piccolo Principe Onlus con Smemorati di via Padova ODV);Incontri in spazio multifunzionale di quartiere;;;;—;—;icon-alzheimer-cafe.png
Associazione ANTEAS;;;X;Associazione / terzo settore;sociale;;Trasporto pazienti con e senza difficoltà di deambulazione (zone 4 e 8);;;;;;https://www.ats-milano.it/gruppi-cammino;Tel. 3513002944 (z.4) — 3519161669 (z.8);—;icon-associazione.png
Federazione Alzheimer Italia / Alzheimer Milano ODV;45,4684111;9,1636982;Via Alberto da Giussano 7, 20145 Milano;Associazione;sociale;"Pronto Alzheimer 02 809767: ascolto, orientamento, consulenze socio-assistenziali, legali e previdenziali; consulenza terapia occupazionale per gestione quotidiana";;"Scherma adattata (2 volte/settimana c/o Accademia Scherma Milano); attività fisica per persone con demenza";Gruppo di incontro settimanale per persone con demenza e caregiver (modello Alzheimer Europe);;Consulenza legale gratuita (amministratore di sostegno, invalidità) e previdenziale;"Gruppo Caregiver settimanale condotto da psicologa; colloqui psicologici gratuiti su appuntamento; webinar formativi per caregiver";https://www.alzheimer.it/pronto-alzheimer-e-consulenze/ | https://www.alzheimer.mi.it/i-progetti/ | https://www.alzheimer.mi.it/per-chi-assiste/;Pronto Alzheimer 02 809767;alzheimer.it | alzheimer.mi.it;icon-associazione.png
AIMA — Associazione Italiana Malattia di Alzheimer;45,4708;9,14326;Via Varazze 6, 20149 Milano;Associazione;sociale;Ascolto e orientamento sulla malattia e le risorse disponibili;;;;;Supporto ai caregiver;Supporto ai caregiver;https://www.amamilano.org/lalzheimer/informazioni.html;—;—;icon-associazione.png
A.M.A. Milano — Associazione Malattia di Alzheimer;45,4476;9,19542;Via Francesco Soave 24, 20135 Milano;Associazione;sociale;"Orientamento e informazione sulla malattia e la rete di servizi; gestione CPAA Municipio 5 e 9";;"Yoga dolce per persone con decadimento lieve e caregiver; attività ludico-ricreative";"Alzheimer Café (c/o RSA Saccardo); spazio ludico/ricreativo per pazienti e famiglie";Stimolazione cognitiva con psicologa esperta in neuroriabilitazione;Orientamento per Amministrazione di Sostegno (con Associazione In Cerchio);"Supporto psicologico ai caregiver; CPAA Municipio 5 e 9 (psicoeducazione, supporto psicologico, orientamento ai servizi)";https://www.amamilano.org/progetti.html | https://amamilano.info/;—;—;icon-associazione.png
Associazione Gruppo Anchise;45,4835274;9,1569616;Via Giovanni da Procida 37, 20149 Milano;Associazione;sociale;;;;Seminari e incontri aperti su Approccio Capacitante: valorizzazione capacità residue nella relazione quotidiana;"Formazione e gruppi sulla comunicazione con la persona con demenza (Approccio Capacitante); tecniche per gestione dei disturbi";;Formazione per familiari e caregiver: strategie comunicative e relazionali con la persona con demenza;https://www.formalzheimer.it/gruppo-anchise/ | https://www.formalzheimer.it/operatore-capacitante/;—;—;icon-associazione.png
Associazione Smemorati di via Padova ODV — Sportello Alzheimer;45,4889184;9,2204733;Via Padova 36, 20131 Milano;Associazione;sociale;Sportello Alzheimer di ascolto e orientamento di prossimità (Municipio 2, via Padova 36);;Ortoterapia, ginnastica dolce, musicoterapia (attività storiche del gruppo);"Caffè Alzheimer ogni martedì (Spazio Mosso); attività di comunità nel quartiere";Indicazioni per gestione disturbi comportamentali nel colloquio allo sportello;;;https://www.mitomorrow.it/salute/sportello-alzheimer-annichiarico/ | https://www2.comune.milano.it/web/municipio-2/-/sportello-alzheimer-2025;—;—;icon-associazione.png
Servizi Sociali Professionali Territoriali (SSPT);45.465845;9.190617;via Ugo Foscolo, 5;Servizi Sociali Professionali Territoriali (SSPT);sociale;"Accesso e orientamento ai servizi sociali territoriali; presa in carico del caso";;;;;"Attivazione sussidi e prestazioni (indennità di accompagnamento, contributo B2, SAD, CDI); coordinamento con enti erogatori";Servizio sociale professionale: presa in carico, accesso a sussidi e prestazioni;https://www.comune.milano.it/servizi/welfare/assistenza-domiciliare;Tel. 02.02.02 (tasti 4-1-2);—;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.489628;9.195684;via degli Assereto, 19;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.505431;9.222102;via Sant’Erlembaldo, 4;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.484588;9.239576;via Tommaso Pini, 1;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.482712;9.215102;via Claudio Monteverdi, 8;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.459814;9.212632;via Augusto Anfossi, 25;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.43383;9.222057;via Nicolò Barabino, 8;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.445385;9.183296;viale Tibaldi, 41;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.43264;9.158664;via Antonio Di Rudinì, 3;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.444035;9.124114;via Francesco Gonin, 28;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.459929;9.127827;viale Legioni Romane, 54;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.464479;9.08872;Via Anselmo da Baggio, 54;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.4758;9.136834;P.le Segesta, 11;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.51197;9.131685;Via Aldini, 72;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.491599;9.146035;P.le Accursio, 5;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.503163;9.107102;Via Consolini, 24;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.504159;9.177131;Via Brivio, 4;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.527251;9.210442;Via  Giolli, 29;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Servizi Sociali Professionali Territoriali (SSPT);45.525075;9.177243;Via S. Arnaldo, 17;Servizi Sociali Professionali Territoriali (SSPT);sociale;;;;;;;;;;;icon-sportello-locale.png
Rete Alzheimer — Comune di Milano;;;X;Servizio comunale / rete;sociale;Ascolto telefonico e orientamento sulla rete di servizi per Alzheimer a Milano (800 684839, lun-ven 9.30-13.30);;;Punto di contatto verso le iniziative territoriali e gli eventi della Rete Alzheimer cittadina;;;;https://www.comune.milano.it/aree-tematiche/servizi-sociali/rete-alzheimer;Tel. 800684839;—;icon-sportello-locale.png
CAAF CGIL / Patronato INCA — Porta Vittoria (sede centrale);45,4625234;9,2038418;Corso di Porta Vittoria 43, Milano;Patronato / CAF;sociale;;;;;;Domanda invalidità civile, indennità di accompagnamento, riconoscimento L.104, ISEE, pratiche badanti, amministratore di sostegno (sportello gratuito);;https://www.cgil.milano.it/servizi/inca-patronato/ | https://www.servizi.cgil.milano.it/salute/;Tel. 02 301919;caafmilano@cgil.lombardia.it — cgil.milano.it;icon-sportello-locale.png
CAAF CGIL / Patronato INCA — Piazza Prealpi;45,49485;9,15274;Piazza Prealpi 4, Milano;Patronato / CAF;sociale;;;;;;Domanda invalidità civile, indennità di accompagnamento, riconoscimento L.104, ISEE;;https://www.cgil.milano.it/servizi/inca-patronato/;Tel. 02 301919;cgil.milano.it;icon-sportello-locale.png
CAAF CGIL / Patronato INCA — Piazzale Segesta;45,4753553;9,138413;Piazzale Segesta 4, Milano;Patronato / CAF;sociale;;;;;;Domanda invalidità civile, indennità di accompagnamento, riconoscimento L.104, ISEE;;https://www.cgil.milano.it/servizi/inca-patronato/;Tel. 02 301919;cgil.milano.it;icon-sportello-locale.png
CAAF CGIL / Patronato INCA — Via Costantino Baroni;45,412043;9,1737911;Via Costantino Baroni 5, Milano;Patronato / CAF;sociale;;;;;;Domanda invalidità civile, indennità di accompagnamento, riconoscimento L.104, ISEE;;https://www.cgil.milano.it/servizi/inca-patronato/;Tel. 02 301919;cgil.milano.it;icon-sportello-locale.png
CAAF CGIL / Patronato INCA — Via Boiardo;45,49982;9,22345;Via Boiardo 20, Milano;Patronato / CAF;sociale;;;;;;Domanda invalidità civile, indennità di accompagnamento, riconoscimento L.104, ISEE;;https://www.cgil.milano.it/servizi/inca-patronato/;Tel. 02 54021516;cgil.milano.it;icon-sportello-locale.png
CAAF CGIL / Patronato INCA — Via Conte Rosso;45,4838224;9,2425376;Via Conte Rosso 30, Milano;Patronato / CAF;sociale;;;;;;Domanda invalidità civile, indennità di accompagnamento, riconoscimento L.104, ISEE;;https://www.cgil.milano.it/servizi/inca-patronato/;Tel. 02 301919;cgil.milano.it;icon-sportello-locale.png
CAAF CGIL / Patronato INCA — Via Giambellino;45,4481935;9,1414941;Via Giambellino 115, Milano;Patronato / CAF;sociale;;;;;;Domanda invalidità civile, indennità di accompagnamento, riconoscimento L.104, ISEE;;https://www.cgil.milano.it/servizi/inca-patronato/;Tel. 02 301919;cgil.milano.it;icon-sportello-locale.png
